Pregunta,URL,Scraping
Question #: 58,https://www.examtopics.com/discussions/microsoft/view/53855-exam-az-900-topic-1-question-58-discussion/,True
Question #: 59,https://www.examtopics.com/discussions/microsoft/view/15451-exam-az-900-topic-1-question-59-discussion/,True
Question #: 60,https://www.examtopics.com/discussions/microsoft/view/46487-exam-az-900-topic-1-question-60-discussion/,True
Question #: 61,https://www.examtopics.com/discussions/microsoft/view/47470-exam-az-900-topic-1-question-61-discussion/,True
Question #: 62,https://www.examtopics.com/discussions/microsoft/view/44411-exam-az-900-topic-1-question-62-discussion/,True
Question #: 63,https://www.examtopics.com/discussions/microsoft/view/46760-exam-az-900-topic-1-question-63-discussion/,True
Question #: 64,https://www.examtopics.com/discussions/microsoft/view/44583-exam-az-900-topic-1-question-64-discussion/,True
Question #: 65,https://www.examtopics.com/discussions/microsoft/view/44339-exam-az-900-topic-1-question-65-discussion/,True
Question #: 66,https://www.examtopics.com/discussions/microsoft/view/20442-exam-az-900-topic-1-question-66-discussion/,True
Question #: 67,https://www.examtopics.com/discussions/microsoft/view/47673-exam-az-900-topic-1-question-67-discussion/,True
Question #: 68,https://www.examtopics.com/discussions/microsoft/view/45120-exam-az-900-topic-1-question-68-discussion/,True
Question #: 69,https://www.examtopics.com/discussions/microsoft/view/82151-exam-ai-900-topic-1-question-69-discussion/,True
Question #: 70,https://www.examtopics.com/discussions/microsoft/view/51428-exam-az-900-topic-1-question-70-discussion/,True
Question #: 71,https://www.examtopics.com/discussions/microsoft/view/53847-exam-az-900-topic-1-question-71-discussion/,True
Question #: 72,https://www.examtopics.com/discussions/microsoft/view/121213-exam-az-900-topic-1-question-72-discussion/,True
Question #: 73,https://www.examtopics.com/discussions/microsoft/view/53938-exam-az-900-topic-1-question-73-discussion/,True
Question #: 74,https://www.examtopics.com/discussions/microsoft/view/61114-exam-az-900-topic-1-question-74-discussion/,True
Question #: 76,https://www.examtopics.com/discussions/microsoft/view/61344-exam-az-900-topic-1-question-76-discussion/,True
Question #: 77,https://www.examtopics.com/discussions/microsoft/view/62998-exam-az-900-topic-1-question-77-discussion/,True
Question #: 78,https://www.examtopics.com/discussions/microsoft/view/68980-exam-az-900-topic-1-question-78-discussion/,True
Question #: 79,https://www.examtopics.com/discussions/microsoft/view/79523-exam-az-900-topic-1-question-79-discussion/,True
Question #: 80,https://www.examtopics.com/discussions/microsoft/view/81510-exam-az-900-topic-1-question-80-discussion/,True
Question #: 81,https://www.examtopics.com/discussions/microsoft/view/78358-exam-az-900-topic-1-question-81-discussion/,True
Question #: 82,https://www.examtopics.com/discussions/microsoft/view/78398-exam-az-900-topic-1-question-82-discussion/,True
Question #: 83,https://www.examtopics.com/discussions/microsoft/view/78464-exam-az-900-topic-1-question-83-discussion/,True
Question #: 84,https://www.examtopics.com/discussions/microsoft/view/80308-exam-az-900-topic-1-question-84-discussion/,True
Question #: 85,https://www.examtopics.com/discussions/microsoft/view/78624-exam-az-900-topic-1-question-85-discussion/,True
Question #: 86,https://www.examtopics.com/discussions/microsoft/view/80048-exam-az-900-topic-1-question-86-discussion/,True
Question #: 87,https://www.examtopics.com/discussions/microsoft/view/80244-exam-az-900-topic-1-question-87-discussion/,True
Question #: 88,https://www.examtopics.com/discussions/microsoft/view/83342-exam-az-900-topic-1-question-88-discussion/,True
