Pregunta,URL,Scraping
Question #: 57,https://www.examtopics.com/discussions/microsoft/view/38355-exam-ai-900-topic-1-question-57-discussion/,True
Question #: 58,https://www.examtopics.com/discussions/microsoft/view/38356-exam-ai-900-topic-1-question-58-discussion/,True
Question #: 59,https://www.examtopics.com/discussions/microsoft/view/33459-exam-ai-900-topic-1-question-59-discussion/,True
Question #: 60,https://www.examtopics.com/discussions/microsoft/view/65279-exam-ai-900-topic-1-question-60-discussion/,True
Question #: 61,https://www.examtopics.com/discussions/microsoft/view/65338-exam-ai-900-topic-1-question-61-discussion/,True
Question #: 62,https://www.examtopics.com/discussions/microsoft/view/64702-exam-ai-900-topic-1-question-62-discussion/,True
Question #: 63,https://www.examtopics.com/discussions/microsoft/view/65008-exam-ai-900-topic-1-question-63-discussion/,True
Question #: 64,https://www.examtopics.com/discussions/microsoft/view/79855-exam-ai-900-topic-1-question-64-discussion/,True
Question #: 65,https://www.examtopics.com/discussions/microsoft/view/80868-exam-ai-900-topic-1-question-65-discussion/,True
Question #: 66,https://www.examtopics.com/discussions/microsoft/view/80870-exam-ai-900-topic-1-question-66-discussion/,True
Question #: 67,https://www.examtopics.com/discussions/microsoft/view/80871-exam-ai-900-topic-1-question-67-discussion/,True
Question #: 68,https://www.examtopics.com/discussions/microsoft/view/80872-exam-ai-900-topic-1-question-68-discussion/,True
Question #: 69,https://www.examtopics.com/discussions/microsoft/view/82151-exam-ai-900-topic-1-question-69-discussion/,True
Question #: 70,https://www.examtopics.com/discussions/microsoft/view/35010-exam-ai-900-topic-1-question-70-discussion/,True
Question #: 71,https://www.examtopics.com/discussions/microsoft/view/55294-exam-ai-900-topic-1-question-71-discussion/,True
Question #: 72,https://www.examtopics.com/discussions/microsoft/view/38738-exam-ai-900-topic-1-question-72-discussion/,True
Question #: 73,https://www.examtopics.com/discussions/microsoft/view/86269-exam-ai-900-topic-1-question-73-discussion/,True
Question #: 74,https://www.examtopics.com/discussions/microsoft/view/55027-exam-ai-900-topic-1-question-74-discussion/,True
Question #: 75,https://www.examtopics.com/discussions/microsoft/view/36702-exam-ai-900-topic-1-question-75-discussion/,True
Question #: 76,https://www.examtopics.com/discussions/microsoft/view/63287-exam-ai-900-topic-1-question-76-discussion/,True
